AMB_TEMP,NMHC,NO2,NOx,O3,RH,THC
30.39166667,0.065217391,12.15833333,13.69583333,40.94166667,71.79166667,2.064347826
30.0125,0.110416667,15.75,16.77083333,44.00416667,72.95833333,2.239583333
29.925,0.026470588,9.133333333,10.0125,50.67916667,75.75,2.15
30.15833333,0.036111111,10.40416667,12.8,37.32916667,71.875,2.056111111
29.89166667,0.042857143,12.1125,13.97916667,31.55714286,70.83333333,2.104285714
29.9625,0.093,16.71666667,18.56666667,32.84583333,69.91666667,2.2065
28.975,0.067727273,21.61666667,25.2875,24.8375,82.125,2.079545455
29.60833333,0.1155,20.95416667,25.14166667,20.9,77.41666667,2.16
29.81666667,0.069565217,13.15833333,14.725,30.69166667,77.41666667,2.094782609
29.85833333,0.031875,11.49583333,13.35416667,35.23333333,74.91666667,2.096875
28.48333333,0.095833333,17.10416667,18.75,26.25,81.66666667,2.22375
27.37083333,0.200833333,21.90416667,39.4625,4,87.33333333,2.304166667
26.83333333,0.123,15.0125,20.85,8.945833333,89.33333333,2.155
26.70416667,0.175217391,19.675,26.81666667,6.6375,90.375,2.267391304
28.29583333,0.1605,16.10909091,19.10454545,18.9375,84.25,2.1545
29.03333333,0.033,12.30833333,14.6125,26.65,75.20833333,2.032
28.30833333,0.043157895,13.875,15.75416667,32.775,72.54166667,2.08
27.34166667,0.111666667,19.65,24.19166667,28.29166667,67.125,2.183333333
27.68333333,0.152105263,22.145,24.725,39.69047619,65.79166667,2.264736842
27.99166667,0.064285714,14.42105263,15.14210526,48.12352941,69.04166667,2.122380952
28.37083333,0.079565217,16.3375,17.75833333,36.725,62.83333333,2.08
26.42916667,0.114166667,19.42916667,22.52916667,34.18333333,68.5,2.13625
26.90416667,0.095217391,19.73809524,21.14285714,37.09166667,67.08333333,2.120869565
27.04166667,0.085416667,14.9625,15.71666667,48.12083333,69.66666667,2.152916667
26.54583333,0.105416667,26.06666667,29.69583333,30.725,72.25,2.139583333
27.31666667,0.077916667,19.59583333,22.15416667,47.05714286,74.625,2.126666667
27.52916667,0.07875,17.025,18.75833333,46.75833333,73.41666667,2.11625
26.9,0.085,17.42608696,19.93043478,42.39166667,72.33333333,2.132272727
