AMB_TEMP,NMHC,NO2,NOx,O3,RH,THC
30.21666667,0.03875,5.770833333,6.175,49.61428571,85.79166667,1.970833333
30.19583333,0.110833333,11.5,12.0375,46.95,85.41666667,2.154583333
29.84166667,0.06625,8.279166667,9.483333333,51.52083333,87.95833333,2.05375
30.07916667,0.020869565,5.920833333,6.854166667,43.33809524,85.375,1.947826087
29.87083333,0.055833333,6.204166667,7.1625,42.19583333,84.29166667,2.007083333
29.8375,0.063333333,9.4375,10.12916667,45.7125,83.91666667,2.029583333
29.3125,0.065833333,10.98333333,12.15833333,35.875,92.54166667,2.000416667
29.8,0.089130435,13.23333333,15.26666667,26.85833333,89.04166667,2.028695652
29.89166667,0.081304348,8.595833333,9.775,34.5375,90.5,2.025217391
29.9125,0.056086957,7.966666667,9.75,39.42083333,88.08333333,1.999565217
28.63333333,0.147916667,16.325,18.81666667,22.73333333,91.375,2.263333333
27.27083333,0.297083333,21.525,34.525,2.808333333,97.625,2.376666667
27.42083333,0.18125,16.75,23.8875,7.370833333,93.70833333,2.167083333
26.97083333,0.19,17.7,24.21304348,8.354166667,95.875,2.187826087
28.5,0.110833333,8.458333333,10.85833333,27.63333333,89.375,2.11125
28.9625,0.080416667,8.675,9.704166667,28.2875,85.375,2.034583333
27.75833333,0.110416667,9.6375,11.325,34.72083333,80.16666667,2.145833333
26.61666667,0.105416667,13.69166667,16.02916667,34.42083333,76.91666667,2.200833333
27.0125,0.133478261,14.3,15.60869565,48.02916667,78.41666667,2.223913043
27.55,0.154736842,11.03,11.865,39.88888889,80.54166667,2.211052632
27.60833333,0.1225,11.13888889,12.51666667,30.82941176,79.41666667,2.1815
25.77083333,0.11625,13.95833333,15.2875,34.57916667,81,2.165833333
26.375,0.09875,12.4375,13.31666667,45.7375,81.91666667,2.152916667
26.4125,0.092916667,11.5375,12.5875,44.38333333,84.25,2.176666667
26.18333333,0.094782609,12.75909091,14.24545455,37.84166667,84.45833333,2.142173913
27.10416667,0.118333333,10.43333333,12.44166667,48.69583333,85.66666667,2.1475
27.18333333,0.124782609,12.03333333,12.91428571,46.8,84.79166667,2.167391304
26.63333333,0.125,13.725,15.71666667,47.8125,84.58333333,2.20625
25.87083333,0.110416667,12.92173913,13.9,39.30952381,81.79166667,2.155833333
26.35833333,0.114583333,12.97916667,14.31666667,44.38333333,80.08333333,2.172916667
26.47083333,0.0875,10.6375,11.58333333,43.7875,83.58333333,2.151666667
26.59583333,0.090416667,13.6625,14.8625,46.5375,86.91666667,2.129166667
26.3375,0.146666667,17.2875,19.15,39.15714286,86.91666667,2.25375
26.62916667,0.109583333,12.88333333,14.24166667,49.50416667,87.41666667,2.1725
27.19166667,0.09375,12.325,13.02083333,44.53333333,84.125,2.120416667
27.20416667,0.122083333,16.6875,18.59583333,30.54583333,87.125,2.182916667
28.22083333,0.12625,15.175,17.6875,30.56666667,84.45833333,2.154166667
27.275,0.103333333,13.09583333,14.1625,38.80833333,87.625,2.185
25.76666667,0.115217391,15.15652174,16.22608696,27.2125,86.5,2.215652174
21.9625,0.11375,17.87916667,19.64166667,32.75416667,72.70833333,2.182916667
22.40833333,0.15875,20.29583333,22.33333333,31.09583333,57.39130435,2.22625
22.32083333,0.180416667,22.55,24.6375,37.90416667,58.95833333,2.254583333
23.6875,0.19625,21.60416667,23.29583333,39.80952381,65.29166667,2.266666667
23.0375,0.083333333,13.2625,13.88333333,38.07916667,77.33333333,2.0875
22.43333333,0.069583333,12.15833333,13.50833333,37.1375,82.79166667,2.08625
24.13333333,0.134583333,16.4125,18.35416667,39.0375,82.66666667,2.1675
24.78695652,0.212083333,19.02173913,20.27391304,37.78181818,79.73913043,2.264583333
24.76666667,0.11625,12.77083333,14.65416667,42.26666667,77.08333333,2.134166667
24.7375,0.077083333,12.37916667,13.5,37.175,77.375,2.080833333
24.74166667,0.119166667,16.50833333,18.20416667,29.325,78.125,2.150833333
25.17083333,0.133333333,15.34583333,17.6,36.03333333,79.16666667,2.197083333
26.09166667,0.097083333,11.81666667,12.42083333,37.78333333,75.08333333,2.1275
23.99583333,0.126666667,16.64285714,17.9952381,29.30416667,75.91666667,2.258095238
20.7375,0.139166667,19.26666667,21.40833333,21.57083333,66.45833333,2.219166667
21.125,0.1375,18.10909091,20.57727273,28.94583333,70.41666667,2.191666667
22.34166667,0.236521739,26.6,28.58181818,15.54166667,71.45833333,2.329130435
23.45833333,0.196666667,20.48333333,23.78333333,25.76190476,76.91666667,2.275416667
22.91666667,0.120416667,15.57083333,17.075,32.38333333,75.875,2.14375
23.61666667,0.164583333,15.475,16.38333333,25.18333333,85.54166667,2.288333333
24.15,0.147916667,16.15,18.97083333,27.4125,81.79166667,2.231666667
24.10833333,0.070833333,9.934782609,11.46086957,32.43181818,74.54166667,2.04875
19.8,0.105833333,15.92916667,17.80416667,31.8625,63.125,2.158333333
19.6,0.17625,20.74583333,24.375,30.17083333,64.70833333,2.25
19.4375,0.17375,22.0375,24.92083333,30.15,63.58333333,2.24125
19.52916667,0.167083333,20.3,22.45833333,41.25833333,59.54166667,2.225
20.875,0.14,15.7625,17.79166667,40.8125,64.95833333,2.172083333
20.94583333,0.085833333,12.9125,14.64583333,27.80833333,77.375,2.085
21.79166667,0.158695652,17.05714286,18.9,34.78333333,75.625,2.21173913
21.42083333,0.182083333,19.82083333,22.8625,33.24583333,72.125,2.265
22.18333333,0.206666667,20.36666667,23.95416667,36.9125,74.375,2.277916667
22.46666667,0.181666667,19.84166667,23.50416667,38.44285714,77.83333333,2.211666667
22.775,0.197083333,18.1375,20.7125,35.44166667,75.83333333,2.23375
21.94583333,0.1025,12.82083333,14.8375,31.50833333,81.375,2.145833333
21.47916667,0.102083333,13.85416667,15.37083333,33.11666667,74.95833333,2.147916667
21.8,0.179583333,20.425,23.54583333,36.42083333,78,2.279166667
22.85416667,0.135,14.83333333,16.02916667,42.18333333,81.25,2.210833333
22.80833333,0.17875,18.91666667,22.05833333,40.45,82.41666667,2.2725
22.05,0.160833333,17.25,18.775,30.02857143,75.41666667,2.265
18.9,0.10875,14.63333333,15.47083333,29.6375,63.70833333,2.1525
20.4125,0.104583333,11.825,13.275,33.86666667,66.66666667,2.14875
20.37083333,0.205833333,24.24166667,26.69583333,21.15416667,80.41666667,2.33625
21.95833333,0.337916667,26.57142857,33.6952381,7.0625,90.91666667,2.423333333
22.30833333,0.200833333,21.59166667,25.91666667,18.80909091,86.45833333,2.312083333
22.33333333,0.209166667,23.03333333,26.85416667,20.82916667,83.25,2.3275
22.94166667,0.141666667,16.1,17.4826087,31.07142857,84,2.195
20.32916667,0.155416667,23.325,26.0375,15.92857143,82.95833333,2.25625
17.75833333,0.080833333,14.78333333,16.1125,21.66190476,81.125,2.125416667
16.81666667,0.139583333,21.44583333,25.02916667,11.33333333,81.66666667,2.194166667
18.65416667,0.15625,19.9,25.85416667,19.13809524,81.58333333,2.209583333
20.48333333,0.148333333,18.70833333,20.79166667,27.30416667,80.58333333,2.200416667
19.7625,0.180833333,23.65,26.725,25.51363636,78.58333333,2.308333333
19.07916667,0.129583333,19.35416667,21.1125,33.275,67.875,2.242916667
20.37083333,0.093333333,16.14583333,17.66666667,30.56666667,63,2.096666667
20.0875,0.09125,14.575,15.92083333,30.11666667,77.75,2.145
20.525,0.154166667,20.19166667,22.79583333,30.40833333,74.16666667,2.255416667
20.87916667,0.199166667,22.89583333,26.25416667,34.8625,79,2.302916667
22.50416667,0.216666667,23.96666667,28.56666667,21.00555556,76.625,2.340555556
21.1875,0.162380952,18.61333333,21.78666667,21.89444444,75.70833333,2.231904762
20.15416667,0.140833333,20.00833333,23.04583333,21.11428571,77.25,2.186666667
20.34166667,0.1175,17.85416667,20.47083333,29.225,77.29166667,2.177916667
20.24166667,0.095,16.80869565,18.19130435,31.5375,77.25,2.175833333
19.70833333,0.1,16.72083333,19.00833333,32.4875,81.33333333,2.1625
18.60416667,0.124166667,17.5375,18.81666667,32.10833333,73.25,2.19875
17.39166667,0.177083333,25.97619048,28.40952381,22.18571429,63,2.29875
17.6375,0.137083333,21.2625,23.02916667,30.0125,67.5,2.21375
17.0625,0.15375,20.36666667,22.50833333,36.15,68.29166667,2.2775
19.65416667,0.133333333,17.6125,18.89583333,39.38333333,72.04166667,2.211666667
21.09583333,0.13375,17.1375,18.5125,38.825,78.375,2.25875
20.89166667,0.1225,16.875,18.52083333,29.925,82.95833333,2.2475
19.34166667,0.155,20.36956522,23.34347826,16.07083333,91.33333333,2.229583333
19.84166667,0.123333333,19.22272727,21.22727273,25.9625,84.5,2.19125
20.25416667,0.167916667,19.14166667,23.33333333,30.55833333,85.375,2.259583333
21.12916667,0.15375,22.11666667,24.1,22.63809524,82.04166667,2.252916667
19.52916667,0.178333333,20.9375,26.34583333,12.34166667,96.41666667,2.229583333
21.81666667,0.224583333,17.5625,23.84583333,18.55416667,93.75,2.320416667
21.69166667,0.1425,19.56666667,23.725,14.14583333,88.66666667,2.21625
21.40416667,0.172916667,19.99166667,24.04583333,26.75,87.29166667,2.27375
21.45416667,0.152083333,18.67916667,21.6,32.39583333,90.08333333,2.29
21.9,0.1325,15.4625,17.175,39.25416667,90.66666667,2.227083333
20.92083333,0.139166667,17.92916667,19.51666667,21.59473684,93.54166667,2.248333333
19.1125,0.113333333,17.14782609,18.32173913,15.79583333,97.91666667,2.197083333
17.39583333,0.061666667,10.8875,11.8625,26.05833333,86.125,2.075
17.44583333,0.08625,13.41666667,14.22916667,30.0125,79.66666667,2.127916667
20.20416667,0.0825,12.24583333,13.91666667,30.79166667,75.91666667,2.163333333
20.20416667,0.058333333,10.56666667,11.74583333,29.0875,87.16666667,2.125833333
19.97916667,0.059583333,10.52916667,11.79166667,26.3375,88.58333333,2.140416667
19.40833333,0.04625,9.3375,10.62083333,36.3,83.58333333,2.075416667
18.1125,0.05826087,10.6,11.57272727,35.49166667,76.75,2.109565217
18.39166667,0.065833333,11.14583333,12.37083333,37.725,75.875,2.123333333
19.20416667,0.145833333,19.3125,22.97916667,27.9625,84.375,2.220833333
