AMB_TEMP,NMHC,NO2,NOx,O3,RH,THC
29.72916667,0.1665,6.938888889,7.711111111,40.14090909,69.16666667,2.217
29.225,0.13125,9.904166667,10.325,41.84583333,72.08333333,2.260416667
29.12916667,0.147916667,5.493333333,5.66,45.5875,73.33333333,2.224583333
29.67916667,0.183333333,5.182608696,5.626086957,37.56666667,69.04166667,2.219583333
29.4875,0.174166667,9.433333333,11.175,30.69047619,66.58333333,2.230416667
29.3625,0.087916667,7.416666667,8.2,42.97916667,67.20833333,2.1275
29.12083333,0.168695652,11.21666667,11.82777778,28.85416667,74.79166667,2.207826087
29.33333333,0.235416667,15.00555556,17.55555556,21.88333333,73.33333333,2.244583333
29.63333333,0.193333333,12.7,14.43333333,32.82916667,73.125,2.224166667
29.64166667,0.11375,11.85,12.675,35.53333333,70.95833333,2.165833333
27.95416667,0.163333333,18.03333333,19.175,22.2,75.70833333,2.33
26.56521739,0.498571429,25.84736842,38.53157895,2.344444444,88.04347826,2.639047619
26.47916667,0.06,19.23333333,26.1952381,6.245833333,86.66666667,2.073913043
26.29583333,0.118333333,19.62083333,28.09166667,5.404166667,87.79166667,2.165833333
28.24166667,0.135,15.075,16.9125,20.59166667,80.25,2.175
28.45416667,0.062916667,13.0125,14.34166667,26.2125,75.41666667,2.083333333
27.125,0.060833333,11.09583333,12.34166667,30.38333333,70.75,2.154166667
25.95416667,0.11,18.195,19.98,31.66190476,66.70833333,2.264545455
26.39166667,0.123333333,19.75416667,21.325,43.59166667,67.79166667,2.254166667
27.22083333,0.125416667,17.19583333,19.61666667,44.54583333,67.70833333,2.245833333
27.22916667,0.100833333,15.05833333,17.12916667,35.41666667,66.41666667,2.204166667
25.21666667,0.110416667,17.69583333,19.23333333,32.81666667,68.5,2.211666667
25.9875,0.244166667,18.15833333,19.84166667,41.40416667,67.70833333,2.395833333
26.07083333,0.115833333,15.05,16.2,44.20416667,69.41666667,2.277083333
25.94583333,0.08625,17.35,18.80833333,39.51904762,69.66666667,2.2025
26.9375,0.133913043,20.00434783,23.42608696,41.00416667,70.125,2.269565217
26.90416667,0.083333333,16.96666667,18.13333333,42.9375,69.91666667,2.201666667
26.20416667,0.104583333,19.39583333,21.09583333,43.15416667,70.54166667,2.260833333
25.37083333,0.110833333,18.225,19.74166667,37.33333333,68,2.223333333
26.075,0.117083333,17.74583333,18.82083333,38.57916667,65.25,2.265416667
25.95416667,0.135833333,14.22916667,15.25416667,38.0875,69.54166667,2.2925
26.3625,0.102083333,18.4375,19.59166667,42.47083333,70.79166667,2.22875
25.9625,0.141666667,22.05416667,23.97083333,39.87083333,71.20833333,2.325416667
26.35,0.137083333,18.96956522,20.79130435,42.1,70.91666667,2.285833333
27.03333333,0.135833333,17.38333333,18.54166667,39.6,68.08333333,2.25125
26.94583333,0.121304348,20.3,21.8,26.03181818,71.91666667,2.263913043
27.95,0.112916667,15.3625,16.6625,26.975,68.625,2.211666667
27.10833333,0.127916667,16.6125,17.7625,41.18571429,71.375,2.307083333
25.35833333,0.064583333,17.375,19.35,25.69583333,70.54166667,2.24
21.4,0.173913043,21.23043478,22.74782609,31.29583333,60.58333333,2.306521739
21.46666667,0.12875,22.74166667,24.39583333,28.46666667,52.04166667,2.2725
21.68333333,0.177083333,25.725,28.02083333,34.9875,56.33333333,2.347083333
21.50909091,0.176363636,23.35454545,26.15454545,23.49090909,64.18181818,2.387272727
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
