AMB_TEMP,NMHC,NO2,NOx,O3,RH,THC
29.22916667,#DIV/0!,10.7375,11.93333333,40.98333333,76.375,#DIV/0!
28.79166667,#DIV/0!,10.73333333,11.84583333,41.17083333,79.79166667,#DIV/0!
28.825,#DIV/0!,7.120833333,8.058333333,44.60416667,79.16666667,#DIV/0!
29.24583333,#DIV/0!,8.7625,10.00833333,34.45833333,75.5,#DIV/0!
29.04583333,#DIV/0!,10.73333333,12.16666667,33.44583333,73.625,#DIV/0!
28.825,#DIV/0!,10.6625,12.04583333,40.8375,75.29166667,#DIV/0!
28.6625,#DIV/0!,12.89583333,14.3,23.865,81.16666667,#DIV/0!
28.92083333,#DIV/0!,13.01363636,14.94545455,22.62916667,79.04166667,#DIV/0!
29.27916667,#DIV/0!,8.116666667,9.595833333,31.4875,78.95833333,#DIV/0!
29.17083333,#DIV/0!,8.175,9.041666667,31.20833333,77.70833333,#DIV/0!
27.60833333,#DIV/0!,14.12083333,15.57083333,20.98333333,83.25,#DIV/0!
26.34583333,#DIV/0!,21.2,33.58333333,2.216666667,93.66666667,#DIV/0!
26.2625,#DIV/0!,9.9,13.56666667,4.852941176,92.08333333,#DIV/0!
26.225,#DIV/0!,13.56086957,20.94347826,5.676190476,92.45833333,#DIV/0!
28.2375,#DIV/0!,9.1375,11.4625,20.60416667,83.45833333,#DIV/0!
28.23333333,#DIV/0!,6.825,8.325,26.875,80.625,#DIV/0!
27.30833333,#DIV/0!,9.258333333,10.225,31.90833333,72.83333333,#DIV/0!
26.175,#DIV/0!,14.87083333,17.27083333,33.52916667,72,#DIV/0!
26.725,#DIV/0!,15.3125,17.42916667,44.225,72,#DIV/0!
27.375,#DIV/0!,11.80833333,13.2625,43.2875,72.33333333,#DIV/0!
27.3625,#DIV/0!,14.84583333,16.77083333,32.6625,71.70833333,#DIV/0!
25.9625,#DIV/0!,15.63043478,17.03478261,27.18095238,71.29166667,#DIV/0!
26.43478261,#DIV/0!,15.27727273,16.89545455,42.04166667,71.91304348,#DIV/0!
26.61666667,#DIV/0!,15.30416667,16.64166667,41.87916667,72.91666667,#DIV/0!
26.5625,#DIV/0!,15.95,17.6375,37.22083333,72,#DIV/0!
26.99166667,#DIV/0!,15.41666667,17.8625,41.8125,75.33333333,#DIV/0!
27.09583333,#DIV/0!,14.69166667,16.60833333,46.02380952,74.04166667,#DIV/0!
26.5375,#DIV/0!,17.86818182,20.02272727,43.10416667,73.95833333,#DIV/0!
25.92083333,#DIV/0!,15.95833333,17.79583333,36.11666667,71.20833333,#DIV/0!
26.42083333,#DIV/0!,15.4375,17.04166667,36.40416667,69.20833333,#DIV/0!
26.45833333,#DIV/0!,12.59583333,14.075,38.04166667,72.70833333,#DIV/0!
26.75416667,#DIV/0!,15.89583333,17.59166667,42.6375,74.58333333,#DIV/0!
26.54166667,#DIV/0!,19.76666667,22.475,40.29583333,72.875,#DIV/0!
26.72083333,#DIV/0!,14.37083333,16.25,43.1125,74.125,#DIV/0!
27.27083333,#DIV/0!,16.5,18.03333333,33.93181818,71.58333333,#DIV/0!
27.00416667,#DIV/0!,16.78695652,18.33478261,32.375,76.58333333,#DIV/0!
27.99166667,#DIV/0!,11.7625,13.0875,29.74166667,72.54166667,#DIV/0!
27.29583333,#DIV/0!,14.66666667,16.05,34.7875,75.29166667,#DIV/0!
25.80416667,#DIV/0!,16.83478261,19.2826087,24.7,73.5,#DIV/0!
22.9,#DIV/0!,20.32916667,22.65,32.48333333,61.125,#DIV/0!
22.85416667,#DIV/0!,23.60416667,25.98333333,30.02857143,54.25,#DIV/0!
23.04166667,#DIV/0!,25.40833333,28.25833333,35.59166667,57.70833333,#DIV/0!
24.06666667,#DIV/0!,25.2375,27.15,32.65833333,60.70833333,#DIV/0!
23.5625,#DIV/0!,14.87916667,15.79166667,36.5,68.33333333,#DIV/0!
23.2625,#DIV/0!,13.6625,14.6875,35.55416667,70.25,#DIV/0!
24.70416667,#DIV/0!,19.11666667,21.18333333,33.31666667,69.08333333,#DIV/0!
25.19583333,#DIV/0!,17.82083333,20.10416667,38.075,73.41666667,#DIV/0!
25.20833333,#DIV/0!,14.7,16.74166667,33.0047619,77.375,#DIV/0!
25.06666667,#DIV/0!,14.32083333,15.5875,36.17083333,76.625,#DIV/0!
25.17083333,#DIV/0!,17.93333333,19.675,29.66666667,76.29166667,#DIV/0!
25.58333333,#DIV/0!,16.95,19.0875,33.07083333,77.375,#DIV/0!
26.4,#DIV/0!,13.00833333,14.29583333,34.7,73.04166667,#DIV/0!
24.29583333,0.171428571,17.18181818,18.76363636,27.92083333,75.33333333,2.3
21.48333333,0.180952381,19.94583333,22.18333333,20.06,66.29166667,2.295238095
22.37916667,0.233333333,20.92916667,24.72083333,32.47142857,68.125,2.375
22.56666667,0.308333333,28.075,31.81666667,11.5625,74,2.516666667
23.94583333,0.2375,22.44583333,26.15,21.2125,76.5,2.408333333
23.5875,0.208333333,20.4,22.48333333,27.49166667,74.29166667,2.366666667
23.85833333,0.216666667,18.07083333,19.70416667,21.97083333,87.5,2.504166667
24.425,0.1925,21.19583333,24.95,18.89545455,83.29166667,2.419166667
24.24583333,0.10125,13.25217391,14.67826087,30.09166667,75.58333333,2.195
20.82916667,0.211666667,17.84166667,19.9625,28.69583333,60.45833333,2.37125
20.63636364,0.298947368,21.63636364,27.04545455,23.64545455,64.63636364,2.523157895
20.7875,0.287916667,23.3,26.60833333,28.34583333,62,2.470416667
20.5173913,0.307391304,21.88181818,24.88181818,34.74347826,59.86956522,2.504782609
21.15909091,0.166818182,13.75,14.80909091,37.03181818,68.04545455,2.339090909
21.85,0.171904762,17.10454545,19.74090909,24.82916667,76.58333333,2.301904762
22.7,0.2275,20.46666667,25.4875,28.54583333,73.33333333,2.435416667
22.5875,0.284166667,22.72083333,26.37916667,33.99047619,68.75,2.516666667
22.76666667,0.24125,21.1,24.7375,32.32916667,74.125,2.46875
23.0125,0.205833333,20.34166667,23.06666667,31.8125,75.83333333,2.41125
23.22916667,0.173333333,15.7125,17.87916667,36.3125,73.375,2.330416667
22.89166667,0.172916667,12.73333333,14.13333333,31.63333333,77.33333333,2.326666667
22.43333333,0.129166667,17.25,19.51666667,30.36666667,72.375,2.289166667
22.8375,0.24875,23.10416667,27.1125,33.64166667,74.41666667,2.497083333
23.74166667,0.224166667,17.24583333,19.54583333,37.52083333,76.45833333,2.449166667
23.34583333,0.234583333,20.86521739,23.25217391,28.91428571,79.125,2.4675
22.82916667,0.203478261,17.64782609,19.6173913,33.88333333,72.25,2.419130435
19.96956522,0.152173913,15.45217391,16.92608696,29.24782609,61.34782609,2.302608696
21.56666667,0.190833333,15.45416667,16.79583333,32.39583333,62.875,2.3475
21.27083333,0.267916667,24.3,27.5125,19.92916667,76.70833333,2.523333333
22.1125,0.250588235,22.95,30.27777778,6.144444444,89.25,2.452941176
22.70833333,0.193,18.675,23.42,15.65,83.33333333,2.4035
23.06666667,0.25125,24.24166667,28.21666667,20.14761905,78.41666667,2.497916667
23.7,0.184583333,18.075,20.19166667,24.7,79.20833333,2.37
21.1875,0.184166667,21.06666667,23.24166667,14.6875,79.58333333,2.403333333
19.06666667,0.094166667,12.85416667,14.57916667,20.92083333,78.04166667,2.24
18.27916667,0.147083333,20.4125,24.65416667,10.23333333,79,2.300833333
20.18333333,0.207916667,20.02916667,26.08333333,18.05416667,77.5,2.385833333
20.34090909,0.2075,18.65652174,21.37826087,16.565,79.13636364,2.385
19.55416667,0.2475,24.32173913,28.52173913,20.2047619,73.04166667,2.495
18.72916667,0.190833333,18.35,20.15416667,35.94285714,65.125,2.4125
19.71666667,0.15125,14.61666667,16.07083333,25.23333333,63.83333333,2.26875
19.825,0.155416667,14.20833333,16.04166667,22.575,73.45833333,2.346666667
20.15,0.215833333,21.55416667,25.075,21.55416667,69.16666667,2.443333333
20.64583333,0.257083333,21.69583333,25.80833333,26.75833333,73.83333333,2.495416667
21.42916667,0.224583333,22.32916667,24.73333333,22.26190476,75.04166667,2.45375
20.7,0.175,20.61052632,22.82631579,14.30555556,72.04166667,2.333333333
19.725,0.11,19.23913043,21.77391304,14.35833333,74,2.233181818
20.13333333,0.1075,18.24583333,20.3125,21.78333333,71.08333333,2.26375
20.075,0.072916667,15.6125,16.78333333,25.81666667,71.91666667,2.250416667
19.62083333,0.085833333,16.5875,19.19583333,24.47083333,76.04166667,2.242083333
18.47916667,0.10375,17.09166667,18.36666667,24.99583333,69.70833333,2.25875
17.35833333,0.186666667,26.32608696,28.84347826,15.00909091,61.5,2.42125
17.68333333,0.145,21.025,23.50416667,23.4375,65.79166667,2.3225
17.575,0.1575,20.65416667,23.34583333,28.8125,64.04166667,2.37625
19.4875,0.12375,19.475,21.15833333,29.21666667,68.125,2.314166667
20.81666667,0.088333333,14.47916667,15.34166667,32.16666667,71.54166667,2.325416667
20.66666667,0.105652174,17.46363636,19.22727273,23.02916667,76,2.305217391
19,0.122083333,20.35416667,23.70416667,11.4875,87.45833333,2.279583333
19.75,0.121666667,19.2,22.08333333,21.3047619,77.95833333,2.27375
20.17916667,0.113333333,16.39583333,20.12916667,28.55555556,77.83333333,2.266666667
20.7875,0.132916667,21.07083333,24.625,17.3125,75.125,2.330833333
19.14166667,0.114583333,18.1125,22.00833333,10.30833333,91.125,2.2525
21.27916667,0.0925,12.97916667,16.5375,14.8375,86.58333333,2.285
20.84583333,0.118695652,19.89583333,24.95416667,9.252631579,84.16666667,2.29
21.09166667,0.145,19.51666667,24.62083333,22.52083333,78.83333333,2.340833333
21.18333333,0.141666667,19.00416667,23.61666667,27.7375,81.33333333,2.395
