AMB_TEMP,NMHC,NO2,NOx,O3,RH,THC
30.35,,4.904166667,9.1125,5.679166667,77.79166667,
29.8125,,4.291666667,16.8875,4.7125,83.16666667,
29.78333333,,2.979166667,9,4.0375,81.04166667,
30.50833333,,4.1875,8.426315789,4.745833333,76.5,
29.925,,4.1125,11.19166667,5.816666667,75.375,
30.39166667,,4.933333333,13.44166667,6.279166667,76.16666667,
30.02083333,,5.525,15.1,6.545833333,82.08333333,
30.34166667,,6.008333333,20.96363636,6.9625,82.58333333,
29.975,,5.020833333,12.36666667,5.966666667,85.41666667,
30.48333333,,4.341666667,14.49583333,5.291666667,81,
27.85,,4.525,19.38333333,5.5875,91.91666667,
26.59166667,,5.082608696,38.71666667,6.708695652,96.70833333,
26.17083333,,3.618181818,21.43043478,5.022727273,97.875,
26.47083333,,3.008333333,31.305,4.1625,96.45833333,
29.0125,,3.5125,19.17916667,4.741666667,88.70833333,
28.92083333,,3.079166667,16.7875,3.908333333,84.5,
27.42083333,,3.345833333,17.97916667,3.858333333,87.95833333,
27.2125,,5.354166667,23.39565217,6.55,83.45833333,
27.82916667,,6.004347826,22.40434783,6.882608696,83.16666667,
28.82083333,,4.713043478,17.86666667,5.713043478,76.91666667,
28.65833333,,4.508333333,17.95416667,4.904166667,74.70833333,
26.3,,7.845833333,21.25416667,8.608333333,84.54166667,
26.90416667,,8.041666667,20.59166667,9.2125,82.625,
27.3625,,5.175,17.4375,6.2875,81.83333333,
27.06666667,,7.245833333,19.51666667,7.716666667,82.91666667,
28.075,,7.69,21.92916667,8.89,80.58333333,
27.9,,5.475,20.69130435,6.155,79.25,
27.72083333,,6.3875,22.31666667,7.366666667,80.08333333,
26.70416667,,6.545833333,23.46956522,7.291666667,79.54166667,
27.17916667,,5.8,20.52083333,6.875,77.29166667,
27.12916667,,4.8125,16.125,5.679166667,77.95833333,
27.6,,5.627272727,21.51666667,6.004545455,78.39130435,
28,,6.425,25.8625,6.6,80.58333333,
27.875,,6.6375,23.41538462,7.241666667,80.29166667,
28.225,,4.6875,19.37142857,5.708333333,78.125,
27.95,,6.7875,24.59545455,7.679166667,82.625,
28.92083333,,4.533333333,18.30416667,5.341666667,75.70833333,
28.18333333,,5.295833333,20.44166667,6.575,80.29166667,
26.54782609,,6.786956522,21.09583333,7.630434783,79.86956522,
23.12083333,,8.779166667,25.50833333,9.85,78.125,
23.17083333,,9.6125,28.15833333,10.72083333,69.41666667,
23.24166667,,9.470833333,31.60454545,10.6875,72.125,
24.43333333,,9.5625,30.90833333,10.32083333,71.5,
24.50833333,,6.566666667,18.02916667,7.508333333,77.66666667,
